Brand,Type,Color,Size,Quantity,WAC_Cost,WAC_Group
ESSENTIALS,HOODIE,B22,XS,2,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,B22,S,7,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,B22,M,7,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,B22,L,5,60.75,Ess_HoodiePant
ESSENTIALS,PANT,B22,XS,2,60.75,Ess_HoodiePant
ESSENTIALS,PANT,B22,S,7,60.75,Ess_HoodiePant
ESSENTIALS,PANT,B22,M,3,60.75,Ess_HoodiePant
ESSENTIALS,PANT,B22,L,5,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,L/O,XS,6,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,L/O,S,3,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,L/O,M,9,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,L/O,L,7,60.75,Ess_HoodiePant
ESSENTIALS,PANT,L/O,XS,3,60.75,Ess_HoodiePant
ESSENTIALS,PANT,L/O,S,4,60.75,Ess_HoodiePant
ESSENTIALS,PANT,L/O,M,3,60.75,Ess_HoodiePant
ESSENTIALS,PANT,L/O,L,11,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,D/O,XS,4,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,D/O,S,6,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,D/O,M,7,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,D/O,L,4,60.75,Ess_HoodiePant
ESSENTIALS,PANT,D/O,XS,3,60.75,Ess_HoodiePant
ESSENTIALS,PANT,D/O,S,4,60.75,Ess_HoodiePant
ESSENTIALS,PANT,D/O,M,6,60.75,Ess_HoodiePant
ESSENTIALS,PANT,D/O,L,3,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,1977 IRON,L,0,60.75,Ess_HoodiePant
ESSENTIALS,PANT,1977 IRON,L,0,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,1977 D/O,XS,2,60.75,Ess_HoodiePant
ESSENTIALS,HOODIE,1977 D/O,L,2,60.75,Ess_HoodiePant
ESSENTIALS,PANT,1977 D/O,XS,1,60.75,Ess_HoodiePant
ESSENTIALS,TEE,B22,L,1,49.54,Ess_TeeShort
ESSENTIALS,SHORTS,B22,XS,3,49.54,Ess_TeeShort
ESSENTIALS,SHORTS,B22,S,2,49.54,Ess_TeeShort
ESSENTIALS,SHORTS,B22,M,1,49.54,Ess_TeeShort
ESSENTIALS,TEE,L/O,M,0,49.54,Ess_TeeShort
ESSENTIALS,SHORTS,L/O,XS,5,49.54,Ess_TeeShort
ESSENTIALS,SHORTS,L/O,M,3,49.54,Ess_TeeShort
ESSENTIALS,SHORTS,D/O,XS,1,49.54,Ess_TeeShort
ESSENTIALS,SHORTS,D/O,S,5,49.54,Ess_TeeShort
ESSENTIALS,SHORTS,D/O,M,1,49.54,Ess_TeeShort
DENIM TEARS,HOODIE,BLACK,S,2,63.65,Den_HoodiePant
DENIM TEARS,HOODIE,BLACK,M,3,63.65,Den_HoodiePant
DENIM TEARS,HOODIE,BLACK,L,0,63.65,Den_HoodiePant
DENIM TEARS,PANT,BLACK,S,2,63.65,Den_HoodiePant
DENIM TEARS,PANT,BLACK,M,3,63.65,Den_HoodiePant
DENIM TEARS,PANT,BLACK,L,0,63.65,Den_HoodiePant
DENIM TEARS,HOODIE,GREY,S,4,63.65,Den_HoodiePant
DENIM TEARS,HOODIE,GREY,M,4,63.65,Den_HoodiePant
DENIM TEARS,HOODIE,GREY,L,1,63.65,Den_HoodiePant
DENIM TEARS,PANT,GREY,S,3,63.65,Den_HoodiePant
DENIM TEARS,PANT,GREY,M,3,63.65,Den_HoodiePant
DENIM TEARS,PANT,GREY,L,1,63.65,Den_HoodiePant
SP5DER,HOODIE,BLACK,S,3,62.7,Spdr_HoodiePant
SP5DER,HOODIE,BLACK,M,4,62.7,Spdr_HoodiePant
SP5DER,HOODIE,BLACK,L,3,62.7,Spdr_HoodiePant
SP5DER,PANT,BLACK,S,2,62.7,Spdr_HoodiePant
SP5DER,PANT,BLACK,M,3,62.7,Spdr_HoodiePant
SP5DER,PANT,BLACK,L,2,62.7,Spdr_HoodiePant
SP5DER,HOODIE,PINK,S,2,62.7,Spdr_HoodiePant
SP5DER,HOODIE,BLUE,S,1,62.7,Spdr_HoodiePant
SP5DER,HOODIE,PINK,M,4,62.7,Spdr_HoodiePant
SP5DER,HOODIE,BLUE,M,1,62.7,Spdr_HoodiePant
SP5DER,HOODIE,PINK,L,3,62.7,Spdr_HoodiePant
SP5DER,HOODIE,BLUE,L,1,62.7,Spdr_HoodiePant
SP5DER,PANT,PINK,S,3,62.7,Spdr_HoodiePant
SP5DER,PANT,PINK,M,4,62.7,Spdr_HoodiePant
SP5DER,PANT,PINK,L,2,62.7,Spdr_HoodiePant
SP5DER,PANT,BLUE,L,0,62.7,Spdr_HoodiePant
ERIC EMANUEL,SHORTS,BLACK,S,0,30.52,Eric_EmanShorts
ERIC EMANUEL,SHORTS,BLACK,M,3,30.52,Eric_EmanShorts
ERIC EMANUEL,SHORTS,WHITE,S,1,30.52,Eric_EmanShorts
ERIC EMANUEL,SHORTS,WHITE,M,1,30.52,Eric_EmanShorts
ERIC EMANUEL,SHORTS,NAVY,S,0,30.52,Eric_EmanShorts
ERIC EMANUEL,SHORTS,LIGHT BLUE,S,0,30.52,Eric_EmanShorts
ERIC EMANUEL,SHORTS,RED,S,0,30.52,Eric_EmanShorts
ERIC EMANUEL,SHORTS,LIGHT BLUE,M,1,30.52,Eric_EmanShorts
ERIC EMANUEL,SHORTS,NAVY,L,1,30.52,Eric_EmanShorts
ERIC EMANUEL,SHORTS,RED,L,1,30.52,Eric_EmanShorts
